#elapsed_minutes,mu_spring,sig_spring,mu_summer,sig_summer,mu_autumn,sig_autumn,mu_winter,sig_winter
0,0.5248673448905492,0.2521833634076824,0.5518280441708279,0.26371470718981915,0.5245321844672305,0.25022790387235694,0.6013716798900753,0.3020241629547432
1,0.46228830718257563,0.2175831829347798,0.4861286925458941,0.22693925575234905,0.46428428241693315,0.21627106145610353,0.5082062655716696,0.2501529182371435
2,0.43154977616490303,0.2000911461761867,0.45319653745888233,0.20818160644332626,0.43653159287266213,0.19966328893008803,0.4626743892386044,0.22426262589550253
3,0.4190089138807941,0.19267402174276566,0.43744083456725386,0.19872228950948512,0.41760681167509145,0.18814544358246113,0.44668222726399426,0.21491254560772974
4,0.42556597251577216,0.19610381852902373,0.43639771016443796,0.19769098753746567,0.41981367513085516,0.18899194029904348,0.4555382868035257,0.21977329000552662
5,0.5041698441848725,0.24070340318864153,0.48737382075633984,0.2256829600502083,0.4809551505932256,0.22466001202463382,0.5432732220070674,0.2699660651540788
6,0.6772206509191712,0.33562321023494335,0.5669513100658735,0.26948700967344097,0.6477537773508399,0.3177084778910384,0.7893935141337404,0.40413266779576273
7,0.7504040916687732,0.3754888227707883,0.6155786395641626,0.29682547413320426,0.7663403780772126,0.3817863744542848,1.0003144502569903,0.5212324375771645
8,0.7274603266027304,0.3625061850481968,0.6531364694053056,0.318577846551498,0.7580610758714575,0.3780038416769662,1.0023393602662591,0.5236442840438531
9,0.7115655968785443,0.35332282480776606,0.6883992038681775,0.3378339969942443,0.7217065137224051,0.3569814262018157,0.9239443179913717,0.4800677849135282
10,0.6767298207812344,0.33421073866727385,0.736772363742037,0.3651776194040834,0.6978858000611291,0.34435973200229364,0.8409207329982363,0.43447371717374694
11,0.6728994016553752,0.3323089185711399,0.7908279171413284,0.39565029970888116,0.6951547914742874,0.342237378841409,0.7934635671077183,0.40661469406466216
12,0.665779076217837,0.32797220958365914,0.8461790687645251,0.42700190338233096,0.7052577189928539,0.3486273940174238,0.7788860414620639,0.39837883531362317
13,0.6646648069466518,0.32730364211739726,0.8898899818970948,0.45212380597303475,0.7109165124619539,0.3524418491169632,0.7743439674076985,0.39559078733321584
14,0.6580765206229146,0.32396260560865336,0.9392090946666312,0.48009315811224734,0.7214959833411643,0.35924885113304583,0.7760471160542545,0.39698412604226213
15,0.6953982529881093,0.3452963641279907,1.0032349663422708,0.5157931631057148,0.7588566091788275,0.38016844611930095,0.7991703291676092,0.4101964161795384
16,0.8143945575103171,0.4085669643942786,1.1360958186972856,0.5849610261176307,0.8863624799820914,0.44773338039251853,0.9689390994994753,0.5024350571771286
17,0.9905569540373398,0.5023051874926211,1.2208747564786417,0.6304260386127676,1.09903137925322,0.5599716105290597,1.3117188344084305,0.6870098547378894
18,1.0956217715090566,0.5580088975679943,1.2133559368463165,0.6256105800197033,1.2222895121194017,0.6182327512696153,1.4684503383629468,0.7625604322385341
19,1.1083805542760854,0.5583654083341651,1.171810181455503,0.5979242314459442,1.1755064843663834,0.5847498226141739,1.4308539214078324,0.7277069806888385
20,1.0637695208839766,0.5281264408729839,1.0897537384175298,0.5491007343762506,1.0939690074976687,0.5361846173656802,1.3343629434764879,0.6668954515799155
21,0.9678487702679237,0.4818806558829105,0.9872120473784814,0.49456519855015374,0.9891099271347676,0.4863802502556388,1.2183547735340763,0.6110788800600895
22,0.8265119898268903,0.4135103509184803,0.8442958439073067,0.42093589447963453,0.8338437544530903,0.41372289449103716,1.0341121079227156,0.5321191530441749
23,0.6524553019389215,0.32193853310234705,0.67107705305712,0.3286712925437664,0.6565835568711533,0.3216182970010536,0.7990620675541265,0.40841512688315196
