#elapsed_minutes,mu_spring,sig_spring,sig/mu_spring,mu_summer,sig_summer,sig/mu_summer,mu_autumn,sig_autumn,sig/mu_autumn,mu_winter,sig_winter,sig/mu_winter
0,0.485,0.2476121694033404,0.510540555470805,0.511,0.25914173855319567,0.5071266899279758,0.497,0.24701253419996066,0.49700711106631923,0.543,0.29422494859190207,0.5418507340550682
1,0.452,0.21631780848237459,0.4785792223061385,0.471,0.22521384594017357,0.47816103172011376,0.459,0.21561470061166282,0.46974880307551814,0.483,0.24680869381967396,0.5109910845127825
2,0.419,0.19869311084350444,0.47420790177447364,0.441,0.20687126536452155,0.46909583982884706,0.429,0.19882684081982605,0.46346582941684394,0.443,0.2217407708928707,0.5005435008868413
3,0.397,0.19058075423071422,0.48005227765922975,0.416,0.19681722872255658,0.4731183382753764,0.399,0.18655078988868556,0.4675458393200139,0.42,0.21173500381149443,0.5041309614559392
4,0.393,0.19322984829438822,0.4916790032936087,0.409,0.1954765738022491,0.47793783325733274,0.392,0.18690672468660394,0.4768028690984794,0.42,0.21563094163884253,0.513407003902006
5,0.45,0.23482854432461278,0.5218412096102506,0.441,0.2215919579840426,0.5024760952019106,0.438,0.22057582718803379,0.5035977789681136,0.486,0.26254678296801914,0.5402197180411916
6,0.577,0.32187523877880225,0.5578427015230542,0.513,0.2637729043422939,0.5141772014469667,0.555,0.305596001055277,0.5506234253248234,0.658,0.3837014039563798,0.5831328327604556
7,0.642,0.3603410450262307,0.5612788863336927,0.55,0.2893235113105107,0.5260427478372921,0.648,0.36497939775203286,0.5632398113457298,0.84,0.4964699994338541,0.5910357136117311
8,0.621,0.3477273462295721,0.5599474174389244,0.574,0.30890788326792534,0.5381670440207759,0.644,0.36195810203022355,0.5620467422829558,0.847,0.4999489140964162,0.5902584582011997
9,0.597,0.33683475099324617,0.5642123132215179,0.588,0.3245981266847792,0.5520376304162912,0.611,0.34163645154628475,0.5591431285536576,0.769,0.4556416773757103,0.592511934168674
10,0.58,0.32127093400419654,0.5539154034555113,0.624,0.34946428513177696,0.5600389184804118,0.597,0.3308463052844173,0.5541814158867961,0.71,0.4145769272446469,0.5839111651333055
11,0.58,0.3200288277335674,0.5517738409199439,0.664,0.3770810407354687,0.5678931336377541,0.597,0.32930770903956696,0.5516042027463434,0.668,0.3875770342880463,0.5802051411497698
12,0.58,0.31693842269590483,0.5464455563722498,0.707,0.4059513011351748,0.5741885447456504,0.609,0.3359050054130237,0.5515681533875595,0.658,0.38022785447877244,0.5778538821865842
13,0.579,0.31629870867416265,0.5462844709398319,0.74,0.428875529418467,0.5795615262411716,0.618,0.3401803789622596,0.5504536876411967,0.653,0.37732409597157196,0.5778316936777518
14,0.579,0.3139436228749425,0.5422169652416969,0.775,0.4538274785292896,0.5855838432635995,0.625,0.34626370070453394,0.5540219211272543,0.652,0.37810765796181467,0.5799197208003293
15,0.61,0.3341031629112961,0.5477101031332723,0.827,0.4873870394014684,0.5893434575592121,0.653,0.3655004504600851,0.5597250389894106,0.675,0.3914619570679103,0.5799436401006078
16,0.688,0.3902514150552181,0.5672258939756077,0.904,0.5424378784955283,0.6000419009906286,0.741,0.42574225592652293,0.5745509526673723,0.803,0.4759937538615142,0.5927693074240525
17,0.817,0.47475787351288207,0.5810989883878606,0.981,0.5881782788640865,0.5995701109725652,0.907,0.5293710930743541,0.5836505987589351,1.088,0.6514400046026204,0.5987500042303496
18,0.933,0.5341660539909705,0.5725252454351237,1.001,0.5914078369267626,0.5908170199068558,1.035,0.5907724784858546,0.5707946652037242,1.282,0.7355610758629861,0.573760589596713
19,0.978,0.5406407719763351,0.552802425333676,0.976,0.5675243258792781,0.5814798420894244,1.028,0.5652311890963541,0.5498357870587102,1.29,0.7083014850466945,0.5490709186408484
20,0.964,0.5152478931588496,0.5344895157249477,0.943,0.5286630477491269,0.5606182902959989,0.982,0.522402970048977,0.5319785845712597,1.235,0.6536377795689119,0.5292613599748274
21,0.884,0.4709251608442216,0.532720770185771,0.871,0.47900193346486775,0.549944814540606,0.896,0.47476535657795754,0.5298720497521847,1.13,0.5991482702839749,0.530219708215907
22,0.725,0.39989066796291484,0.5515733351212618,0.739,0.40691988361830783,0.550635837101905,0.743,0.40199507147457875,0.5410431648379257,0.912,0.5147830161770628,0.5644550615976566
23,0.572,0.3116153189597763,0.5447820261534551,0.599,0.319814092816759,0.5339133436005994,0.587,0.3130672232324868,0.533334281486349,0.684,0.3916201652897037,0.5725441013007364
