company_charger_cost_per_kWh,charge_pv,charge_work,charge_grid,charge_emergency,charge_held_back,utilisation,avg_cost_apartment,avg_cost_house_pv,avg_cost_house_no_pv,avg_cost
0.1,229.8469292205166,440348.8219499504,2529.653819152306,134.82752200079977,0.0,2.395754128238504,0.019248352665654028,0.019160534277261047,0.019183602969746857,0.01918339803120854
0.12000000000000001,68058.999723371,376940.15272704646,2179.932809807081,130.01423347107573,6400.4182010587065,2.0452718195856208,0.023104939562203292,0.021676413263204866,0.023068112834197,0.022988033183718476
0.14,71960.14871081924,376978.4071534989,1961.8644758031278,176.80424410336744,7165.353926559814,2.016450846614526,0.027010336646847575,0.022716092643798154,0.026741249770411153,0.02648467584105101
0.16000000000000003,68258.21216645841,374321.29376452026,2055.4032075853775,117.72688619651665,6669.350771203497,1.9914794374893168,0.03067782587484212,0.023482818804976838,0.030533752471640335,0.030117758399913767
0.18000000000000002,69418.25776633502,374146.0778350275,2130.160826175445,113.3427788640256,6789.499773998282,2.0146414271911386,0.03467162264987712,0.024341776065667627,0.03427392972780846,0.03367605140901419
0.2,69649.12222678133,374698.1760511226,2095.4303640774024,195.0080348230243,6197.752173143348,2.0113562057486063,0.039059156056712487,0.02501439081420832,0.03810468301292057,0.037337949770178985
0.22000000000000003,66523.63280182877,38900.98210284364,342516.5752285134,230.92655059287708,0.0,0.2511253160777163,0.04230327936972456,0.025519158610737593,0.03930178042379301,0.038610518377851254
0.24000000000000002,70553.40735199889,34678.91338001907,341162.8839347401,82.42378683003872,0.0,0.21986542518466273,0.04545511715749857,0.024860707759046967,0.03916650353159384,0.03841894151620947
0.26,70792.74083759039,38750.64679720876,336909.5007346647,73.03544522922363,0.0,0.24202866409502433,0.04950482437135159,0.025220448133012517,0.03931352654116593,0.03860725344063257
0.28,71207.83898779076,36287.1661285006,343788.00072091393,104.6668792544302,0.0,0.22806984208468584,0.05316235859818553,0.025579420689967696,0.03919591600135053,0.038544388119199746
0.30000000000000004,68226.88064435955,36704.15175871438,338418.75469308934,52.14434271160925,0.0,0.2216214372448913,0.05738468113764344,0.025446788813797337,0.03928264590858613,0.03875035322573403
