Day,Time,Demand VIC
Mon,00:00,4596.655962
Mon,00:30,4432.815577
Mon,01:00,4298.043269
Mon,01:30,4195.9175
Mon,02:00,4043.826538
Mon,02:30,3929.393077
Mon,03:00,3855.447885
Mon,03:30,3823.243654
Mon,04:00,3819.250385
Mon,04:30,3884.883077
Mon,05:00,3978.6925
Mon,05:30,4196.446923
Mon,06:00,4414.317308
Mon,06:30,4748.068269
Mon,07:00,5004.530769
Mon,07:30,5090.083846
Mon,08:00,5206.9425
Mon,08:30,5270.713269
Mon,09:00,5209.173077
Mon,09:30,5128.301731
Mon,10:00,5002.210962
Mon,10:30,4900.603269
Mon,11:00,4809.704423
Mon,11:30,4737.897308
Mon,12:00,4693.995769
Mon,12:30,4664.839038
Mon,13:00,4648.053269
Mon,13:30,4657.6075
Mon,14:00,4646.874808
Mon,14:30,4667.334615
Mon,15:00,4734.330192
Mon,15:30,4854.744423
Mon,16:00,5032.698462
Mon,16:30,5231.056923
Mon,17:00,5477.603846
Mon,17:30,5693.739423
Mon,18:00,5895.392692
Mon,18:30,5941.804038
Mon,19:00,5907.452308
Mon,19:30,5786.813269
Mon,20:00,5672.180962
Mon,20:30,5521.278462
Mon,21:00,5341.714038
Mon,21:30,5165.077885
Mon,22:00,4982.145
Mon,22:30,4796
Mon,23:00,4678.401538
Mon,23:30,4830.748654
Tue,00:00,4818.159615
Tue,00:30,4637.653846
Tue,01:00,4491.355962
Tue,01:30,4367.650192
Tue,02:00,4214.553462
Tue,02:30,4092.205192
Tue,03:00,4009.589808
Tue,03:30,3971.295962
Tue,04:00,3967.159423
Tue,04:30,4028.484038
Tue,05:00,4121.719423
Tue,05:30,4340.682692
Tue,06:00,4571.734808
Tue,06:30,4911.614231
Tue,07:00,5170.363269
Tue,07:30,5251.985962
Tue,08:00,5368.737692
Tue,08:30,5430.416154
Tue,09:00,5366.044423
Tue,09:30,5283.698462
Tue,10:00,5146.302308
Tue,10:30,5038.762692
Tue,11:00,4946.714423
Tue,11:30,4869.436923
Tue,12:00,4840.925
Tue,12:30,4836.917692
Tue,13:00,4828.107885
Tue,13:30,4840.391731
Tue,14:00,4852.772115
Tue,14:30,4873.866538
Tue,15:00,4926.4625
Tue,15:30,5029.705192
Tue,16:00,5173.659423
Tue,16:30,5336.784423
Tue,17:00,5546.120385
Tue,17:30,5746.618269
Tue,18:00,5925.455
Tue,18:30,5959.620577
Tue,19:00,5908.585192
Tue,19:30,5784.647115
Tue,20:00,5676.5825
Tue,20:30,5524.317308
Tue,21:00,5350.266731
Tue,21:30,5167.105577
Tue,22:00,4980.452308
Tue,22:30,4801.628462
Tue,23:00,4688.720769
Tue,23:30,4844.246923
Wed,00:00,4819.910192
Wed,00:30,4627.791698
Wed,01:00,4481.192075
Wed,01:30,4361.508113
Wed,02:00,4207.856981
Wed,02:30,4089.957736
Wed,03:00,4009.158679
Wed,03:30,3974.308302
Wed,04:00,3967.326604
Wed,04:30,4019.052264
Wed,05:00,4104.800755
Wed,05:30,4318.138302
Wed,06:00,4541.370755
Wed,06:30,4864.90717
Wed,07:00,5118.003019
Wed,07:30,5206.016604
Wed,08:00,5315.438113
Wed,08:30,5381.726604
Wed,09:00,5324.43
Wed,09:30,5233.310566
Wed,10:00,5108.621698
Wed,10:30,4995.022453
Wed,11:00,4907.396226
Wed,11:30,4835.404151
Wed,12:00,4790.122264
Wed,12:30,4774.828302
Wed,13:00,4763.969245
Wed,13:30,4783.696604
Wed,14:00,4799.909811
Wed,14:30,4831.311321
Wed,15:00,4911.567547
Wed,15:30,5011.250755
Wed,16:00,5140.390943
Wed,16:30,5296.072075
Wed,17:00,5506.672075
Wed,17:30,5693.660189
Wed,18:00,5890.630755
Wed,18:30,5938.124151
Wed,19:00,5893.288868
Wed,19:30,5772.927736
Wed,20:00,5664.270377
Wed,20:30,5510.307358
Wed,21:00,5339.953396
Wed,21:30,5166.983585
Wed,22:00,4988.662642
Wed,22:30,4806.061698
Wed,23:00,4693.806226
Wed,23:30,4849.019057
Thu,00:00,4831.300566
Thu,00:30,4640.666792
Thu,01:00,4496.363208
Thu,01:30,4373.537736
Thu,02:00,4221.419623
Thu,02:30,4094.693962
Thu,03:00,4009.440566
Thu,03:30,3975.586792
Thu,04:00,3973.368302
Thu,04:30,4034.741321
Thu,05:00,4131.92717
Thu,05:30,4338.565283
Thu,06:00,4563.838868
Thu,06:30,4891.737358
Thu,07:00,5130.699811
Thu,07:30,5213.184151
Thu,08:00,5322.496415
Thu,08:30,5382.065283
Thu,09:00,5337.958113
Thu,09:30,5232.154906
Thu,10:00,5099.201132
Thu,10:30,4974.634528
Thu,11:00,4898.238113
Thu,11:30,4825.804717
Thu,12:00,4796.496604
Thu,12:30,4791.796415
Thu,13:00,4788.71283
Thu,13:30,4810.498491
Thu,14:00,4833.857547
Thu,14:30,4864.586981
Thu,15:00,4950.183208
Thu,15:30,5085.626981
Thu,16:00,5230.316226
Thu,16:30,5391.818868
Thu,17:00,5605.925849
Thu,17:30,5789.934528
Thu,18:00,5973.764151
Thu,18:30,6023.844906
Thu,19:00,5971.69
Thu,19:30,5852.104906
Thu,20:00,5743.106604
Thu,20:30,5592.118868
Thu,21:00,5409.692453
Thu,21:30,5228.140566
Thu,22:00,5037.90717
Thu,22:30,4854.759057
Thu,23:00,4730.666415
Thu,23:30,4880.824906
Fri,00:00,4853.322453
Fri,00:30,4668.693654
Fri,01:00,4521.483462
Fri,01:30,4391.348269
Fri,02:00,4237.708077
Fri,02:30,4111.511923
Fri,03:00,4033.603654
Fri,03:30,3993.732885
Fri,04:00,3993.336154
Fri,04:30,4047.377692
Fri,05:00,4135.645962
Fri,05:30,4345.825385
Fri,06:00,4556.851923
Fri,06:30,4872.391538
Fri,07:00,5117.702885
Fri,07:30,5203.216538
Fri,08:00,5318.145385
Fri,08:30,5387.767115
Fri,09:00,5349.0875
Fri,09:30,5271.454038
Fri,10:00,5143.036731
Fri,10:30,5031.148462
Fri,11:00,4943.925769
Fri,11:30,4871.707885
Fri,12:00,4836.313269
Fri,12:30,4816.694615
Fri,13:00,4793.939808
Fri,13:30,4801.543077
Fri,14:00,4798.529808
Fri,14:30,4810.954808
Fri,15:00,4848.655385
Fri,15:30,4927.795
Fri,16:00,5063.176538
Fri,16:30,5229.286923
Fri,17:00,5435.116923
Fri,17:30,5617.225385
Fri,18:00,5781.951154
Fri,18:30,5832.324231
Fri,19:00,5815.288269
Fri,19:30,5699.938654
Fri,20:00,5588.616923
Fri,20:30,5450.003077
Fri,21:00,5288.852885
Fri,21:30,5140.296538
Fri,22:00,4985.324615
Fri,22:30,4813.982885
Fri,23:00,4714.621154
Fri,23:30,4864.070577
Sat,00:00,4822.159423
Sat,00:30,4623.388462
Sat,01:00,4452.065192
Sat,01:30,4318.714423
Sat,02:00,4152.042115
Sat,02:30,4022.363462
Sat,03:00,3926.607308
Sat,03:30,3871.791154
Sat,04:00,3842.636154
Sat,04:30,3844.458269
Sat,05:00,3872.389038
Sat,05:30,3954.042692
Sat,06:00,4023.008846
Sat,06:30,4160.464808
Sat,07:00,4269.026154
Sat,07:30,4297.880769
Sat,08:00,4392.252692
Sat,08:30,4463.082115
Sat,09:00,4468.984038
Sat,09:30,4456.854423
Sat,10:00,4404.968269
Sat,10:30,4335.345192
Sat,11:00,4270.314231
Sat,11:30,4200.164231
Sat,12:00,4160.497308
Sat,12:30,4133.307308
Sat,13:00,4108.62
Sat,13:30,4098.522308
Sat,14:00,4128.268462
Sat,14:30,4152.503654
Sat,15:00,4202.257692
Sat,15:30,4298.25
Sat,16:00,4455.481538
Sat,16:30,4633.777308
Sat,17:00,4856.711923
Sat,17:30,5081.343462
Sat,18:00,5292.759231
Sat,18:30,5378.069423
Sat,19:00,5359.578077
Sat,19:30,5274.911538
Sat,20:00,5176.065769
Sat,20:30,5064.800577
Sat,21:00,4928.663462
Sat,21:30,4824.276923
Sat,22:00,4708.705385
Sat,22:30,4575.673269
Sat,23:00,4507.683077
Sat,23:30,4666.086923
Sun,00:00,4648.136923
Sun,00:30,4477.148077
Sun,01:00,4317.705769
Sun,01:30,4185.174038
Sun,02:00,4018.084231
Sun,02:30,3883.990385
Sun,03:00,3787.510192
Sun,03:30,3732.12
Sun,04:00,3694.8
Sun,04:30,3693.535385
Sun,05:00,3695.424808
Sun,05:30,3745.241923
Sun,06:00,3790.509038
Sun,06:30,3879.376154
Sun,07:00,3955.820769
Sun,07:30,3959.954615
Sun,08:00,4039.347692
Sun,08:30,4108.929423
Sun,09:00,4116.172115
Sun,09:30,4115.464231
Sun,10:00,4065.879231
Sun,10:30,4013.249808
Sun,11:00,3956.983846
Sun,11:30,3902.204038
Sun,12:00,3873.115192
Sun,12:30,3863.355962
Sun,13:00,3843.881731
Sun,13:30,3865.099423
Sun,14:00,3896.457308
Sun,14:30,3973.764038
Sun,15:00,4079.551731
Sun,15:30,4212.700385
Sun,16:00,4390.365192
Sun,16:30,4589.659615
Sun,17:00,4857.694808
Sun,17:30,5115.104038
Sun,18:00,5335.260577
Sun,18:30,5414.334231
Sun,19:00,5393.430962
Sun,19:30,5304.614231
Sun,20:00,5203.918846
Sun,20:30,5076.281923
Sun,21:00,4938.162692
Sun,21:30,4796.992692
Sun,22:00,4651.362308
Sun,22:30,4507.243654
Sun,23:00,4426.785769
Sun,23:30,4596.234615
Mon,00:00,4596.655962
